year,round,pickInRound,pickOverall,draftedbyteamid,draftedbyteamid.1,team.name,prospect.fullName,position,nationality,playerHeight,playerWeight,birthCity,birthDate,amateurLeague.name,amateurTeam.name,playerId,gamesPlayed,goals,assists,points,pointsPerGame,shotsAgainst,saves,shutouts,savePctg,jerseyNumber,teamName,onroster,status,gpPerYear,gpClass,ppgClass
2007,1,17,17,3,3,New York Rangers,Alexei Cherepanov,RW,RUS,73.0,187.0,"Barnaul, Russia",1989-01-15,RUSSIA,Omsk,8474193.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,1,18,18,19,19,St. Louis Blues,Ian Cole,D,USA,73.0,221.0,"Ann Arbor, MI  USA",1989-02-21,USDP,USA U-18,8474013.0,955.0,37.0,187.0,224.0,0.2345549738219895,,,,,82.0,Vancouver Canucks,Y,other_team,56.1764705882353,3,1
2007,1,19,19,24,24,Anaheim Ducks,Logan MacMillan,C,CAN,73.0,172.0,"Charlottetown, PE  CAN",1989-07-05,QMJHL,Halifax,8474122.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,1,20,20,5,5,Pittsburgh Penguins,Angelo Esposito,C,CAN,74.0,190.0,"Montreal, QC  CAN",1989-02-20,QMJHL,Quebec,8474185.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,1,21,21,22,22,Edmonton Oilers,Riley Nash,C,CAN,73.0,191.0,"Consort, AB  CAN",1989-05-09,BCHL,Salmon Arm,8474062.0,670.0,65.0,119.0,184.0,0.2746268656716417,,,,,18.0,New York Rangers,N,inactive,39.411764705882355,2,2
2007,1,22,22,8,8,Montréal Canadiens,Max Pacioretty,LW,USA,74.0,196.0,"New Canaan, CT  USA",1988-11-20,USHL,Sioux City,8474157.0,980.0,355.0,363.0,718.0,0.7326530612244897,,,,,67.0,Washington Capitals,Y,other_team,57.64705882352941,3,3
2007,1,23,23,18,18,Nashville Predators,Jonathon Blum,D,USA,73.0,178.0,"Long Beach, CA  USA",1989-01-30,WHL,Vancouver,8474164.0,122.0,7.0,19.0,26.0,0.2131147540983606,,,,,,,,inactive,7.176470588235294,1,1
2007,1,24,24,20,20,Calgary Flames,Mikael Backlund,C,SWE,72.0,196.0,"Vasteras, Sweden",1989-03-17,SWEDEN-2,Vasteras,8474150.0,1032.0,212.0,341.0,553.0,0.5358527131782945,,,,,11.0,Calgary Flames,Y,active,60.705882352941174,4,3
2007,1,25,25,23,23,Vancouver Canucks,Patrick White,C,USA,73.0,190.0,"Grand Rapids, MN  USA",1989-01-20,USHL,Tri-City,8474158.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,1,26,26,19,19,St. Louis Blues,David Perron,LW,CAN,72.0,200.0,"Sherbrooke, QC  CAN",1988-05-28,QMJHL,Lewiston,8474102.0,1235.0,334.0,495.0,829.0,0.6712550607287449,,,,,57.0,Detroit Red Wings,Y,other_team,72.6470588235294,4,3
2007,1,27,27,17,17,Detroit Red Wings,Brendan Smith,D,CAN,73.0,170.0,"Mimico, ON  CAN",1989-02-08,OPJRA,St. Michael's,8474090.0,753.0,41.0,112.0,153.0,0.2031872509960159,,,,,2.0,New Jersey Devils,Y,other_team,44.294117647058826,3,1
2007,1,28,28,28,28,San Jose Sharks,Nick Petrecki,D,USA,75.0,230.0,"Schenectady, NY  USA",1989-07-11,USHL,Omaha,8474032.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,inactive,0.058823529411764705,1,1
2007,1,29,29,9,9,Ottawa Senators,Jim O'Brien,C,USA,74.0,200.0,"Maplewood, MN  USA",1989-01-29,WCHA,U. of Minnesota,8474024.0,84.0,8.0,6.0,14.0,0.1666666666666666,,,,,,,,inactive,4.9411764705882355,1,1
2007,1,30,30,27,59,Utah Hockey Club,Nick Ross,D,CAN,73.0,196.0,"Edmonton, AB  CAN",1989-02-10,WHL,Regina,8474041.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,1,31,7,7,Buffalo Sabres,TJ Brennan,D,USA,72.0,208.0,"Willingboro, NJ  USA",1989-04-03,QMJHL,St. John's Fog Devils,8474113.0,53.0,5.0,8.0,13.0,0.2452830188679245,,,,,,,,inactive,3.1176470588235294,1,1
2007,2,2,32,27,59,Utah Hockey Club,Brett MacLean,LW,CAN,73.0,200.0,"London, ON  CAN",1988-12-24,OHL,Oshawa,8474050.0,18.0,2.0,3.0,5.0,0.2777777777777777,,,,,,,,inactive,1.0588235294117647,1,2
2007,2,3,33,23,23,Vancouver Canucks,Taylor Ellington,D,CAN,72.0,200.0,"Victoria, BC  CAN",1988-10-31,WHL,Everett,8474108.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,4,34,15,15,Washington Capitals,Josh Godfrey,D,CAN,73.0,202.0,"Collingwood, ON  CAN",1988-01-15,OHL,Sault Ste. Marie,8473683.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,5,35,6,6,Boston Bruins,Tommy Cross,D,USA,75.0,195.0,"Hartford, CT  USA",1989-09-12,HIGH-CT,Westminster,8474019.0,4.0,0.0,2.0,2.0,0.5,,,,,,,,inactive,0.23529411764705882,1,3
2007,2,6,36,27,59,Utah Hockey Club,Joel Gistedt,G,SWE,71.0,174.0,"Uddevalla, Sweden",1987-12-07,SWEDEN,Frolunda,8474097.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,7,37,29,29,Columbus Blue Jackets,Stefan Legein,RW,CAN,69.0,170.0,"Oakville, ON  CAN",1988-11-24,OHL,Mississauga,8474187.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,8,38,16,16,Chicago Blackhawks,Bill Sweatt,LW,USA,72.0,190.0,"Elburn, IL  USA",1988-09-21,WCHA,Colorado College,8474035.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,inactive,0.17647058823529413,1,1
2007,2,9,39,19,19,St. Louis Blues,Simon Hjalmarsson,RW,SWE,71.0,161.0,"Varnamo, Sweden",1989-02-01,SWEDEN-JR.,Frolunda Jr.,8474173.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,10,40,13,13,Florida Panthers,Michal Repik,RW,CZE,70.0,180.0,"Vlasim, Czech Republic",1988-12-31,WHL,Vancouver,8474153.0,72.0,9.0,11.0,20.0,0.2777777777777777,,,,,,,,inactive,4.235294117647059,1,2
2007,2,11,41,4,4,Philadelphia Flyers,Kevin Marshall,D,CAN,73.0,191.0,"Boucherville, QC  CAN",1989-03-10,QMJHL,Lewiston,8474163.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,inactive,0.5882352941176471,1,1
2007,2,12,42,24,24,Anaheim Ducks,Eric Tangradi,C,USA,76.0,221.0,"Philadelphia, PA  USA",1989-02-10,OHL,Belleville,8474025.0,153.0,5.0,12.0,17.0,0.1111111111111111,,,,,,,,inactive,9.0,1,1
2007,2,13,43,8,8,Montréal Canadiens,P.K. Subban,D,CAN,72.0,206.0,"Toronto, ON  CAN",1989-05-13,OHL,Belleville,8474056.0,930.0,133.0,396.0,529.0,0.5688172043010752,,,,,,,,inactive,54.705882352941174,3,3
2007,2,14,44,19,19,St. Louis Blues,Aaron Palushaj,RW,USA,71.0,187.0,"Livonia, MI  USA",1989-09-07,USHL,Des Moines,8474030.0,68.0,3.0,11.0,14.0,0.2058823529411764,,,,,,,,inactive,4.0,1,1
2007,2,15,45,21,21,Colorado Avalanche,Colby Cohen,D,USA,74.0,200.0,"Villanova, PA  USA",1989-04-25,USHL,Lincoln,8474002.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,inactive,0.17647058823529413,1,1
2007,2,16,46,15,15,Washington Capitals,Theo Ruth,D,USA,73.0,199.0,"Naperville, IL  USA",1989-02-14,USDP,USA U-18,8474017.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,17,47,14,14,Tampa Bay Lightning,Dana Tyrell,F,CAN,71.0,185.0,"Airdrie, AB  CAN",1989-04-23,WHL,Prince George,8474095.0,142.0,7.0,17.0,24.0,0.1690140845070422,,,,,,,,inactive,8.352941176470589,1,1
2007,2,18,48,3,3,New York Rangers,Antoine Lafleur,G,CAN,76.0,198.0,"Gatineau, QC  CAN",1988-12-12,QMJHL,PEI,8474105.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,19,49,21,21,Colorado Avalanche,Trevor Cann,G,CAN,71.0,199.0,"Oakville, ON  CAN",1989-03-30,OHL,Peterborough,8474083.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,20,50,25,25,Dallas Stars,Nico Sacchetti,C,USA,71.0,189.0,"Virginia, MN  USA",1989-08-21,HIGH-MN,Virginia,8474020.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,21,51,5,5,Pittsburgh Penguins,Keven Veilleux,C,CAN,77.0,218.0,"Saint-Renee, QC  CAN",1989-06-27,QMJHL,Victoriaville,8474148.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,22,52,26,26,Los Angeles Kings,Oscar Moller,C,SWE,70.0,189.0,"Stockholm, Sweden",1989-01-22,WHL,Chilliwack,8474114.0,88.0,12.0,14.0,26.0,0.2954545454545454,,,,,,,,inactive,5.176470588235294,1,2
2007,2,23,53,29,29,Columbus Blue Jackets,Will Weber,D,USA,76.0,205.0,"Gaylord, MI  USA",1988-10-28,HIGH-MI,Gaylord H.S.,8474175.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,24,54,18,18,Nashville Predators,Jeremy Smith,G,USA,72.0,171.0,"Dearborn, MI  USA",1989-04-13,OHL,Plymouth,8474092.0,10.0,,,,0.0,286.0,254.0,0.0,0.0,,,,inactive,0.5882352941176471,1,1
2007,2,25,55,21,21,Colorado Avalanche,TJ Galiardi,F,CAN,74.0,190.0,"Calgary, AB  CAN",1988-04-22,ECAC,Dartmouth College,8474001.0,341.0,45.0,64.0,109.0,0.3196480938416422,,,,,,,,inactive,20.058823529411764,2,2
2007,2,26,56,16,16,Chicago Blackhawks,Akim Aliu,F,NGA,76.0,225.0,"Okene, Nigeria",1989-04-24,OHL,Sudbury,8474049.0,7.0,2.0,1.0,3.0,0.4285714285714285,,,,,,,,inactive,0.4117647058823529,1,2
2007,2,27,57,1,1,New Jersey Devils,Mike Hoeffel,F,USA,74.0,186.0,"North Oaks, MN  USA",1989-04-09,USDP,USA U-18,8474023.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,28,58,18,18,Nashville Predators,Nick Spaling,C,CAN,73.0,196.0,"Palmerston, ON  CAN",1988-09-19,OHL,Kitchener,8474096.0,494.0,55.0,81.0,136.0,0.2753036437246963,,,,,,,,inactive,29.058823529411764,2,2
2007,2,29,59,7,7,Buffalo Sabres,Drew Schiestel,D,CAN,73.0,193.0,"Hamilton, ON  CAN",1989-03-09,OHL,Mississauga,8473996.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,30,60,9,9,Ottawa Senators,Ruslan Bashkirov,LW,RUS,71.0,186.0,"Moscow, Russia",1989-03-07,QMJHL,Quebec,8474101.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,2,31,61,26,26,Los Angeles Kings,Wayne Simmonds,RW,CAN,74.0,183.0,"Scarborough, ON  CAN",1988-08-26,OHL,Owen Sound,8474190.0,1090.0,271.0,277.0,548.0,0.5027522935779816,,,,,,,,inactive,64.11764705882354,4,3
2007,3,1,62,2,2,New York Islanders,Mark Katic,D,CAN,70.0,195.0,"Porcupine, ON  CAN",1989-05-09,OHL,Sarnia,8474063.0,11.0,0.0,1.0,1.0,0.0909090909090909,,,,,,,,inactive,0.6470588235294118,1,1
2007,3,2,63,24,24,Anaheim Ducks,Maxime Macenauer,C,CAN,71.0,188.0,"Laval, QC  CAN",1989-01-04,QMJHL,Rouyn-Noranda,8474139.0,29.0,1.0,3.0,4.0,0.1379310344827586,,,,,,,,inactive,1.7058823529411764,1,1
2007,3,3,64,25,25,Dallas Stars,Sergei Korostin,RW,RUS,71.0,180.0,"Prokopievsk, Russia",1989-07-05,RUSSIA,Dynamo Moscow,8474170.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,4,65,8,8,Montréal Canadiens,Olivier Fortier,C,CAN,71.0,181.0,"Quebec City, QC  CAN",1989-05-02,QMJHL,Rimouski,8474119.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,5,66,4,4,Philadelphia Flyers,Garrett Klotz,LW,CAN,78.0,235.0,"Regina, SK  CAN",1988-11-27,WHL,Saskatoon,8474084.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,6,67,11,11,Atlanta Thrashers,Spencer Machacek,RW,CAN,73.0,200.0,"Lethbridge, AB  CAN",1988-10-14,WHL,Vancouver,8474146.0,25.0,2.0,7.0,9.0,0.36,,,,,,,,inactive,1.4705882352941178,1,2
2007,3,7,68,29,29,Columbus Blue Jackets,Jake Hansen,F,USA,73.0,168.0,"St. Paul, MN  USA",1989-08-21,USHL,Sioux Falls,8474099.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,8,69,16,16,Chicago Blackhawks,Maxime Tanguay,C,CAN,71.0,170.0,"Ste-Justine, QC  CAN",1988-11-16,QMJHL,Rimouski,8474109.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,9,70,20,20,Calgary Flames,John Negrin,D,CAN,74.0,195.0,"West Vancouver, BC  CAN",1989-03-25,WHL,Kootenay,8474076.0,3.0,0.0,1.0,1.0,0.3333333333333333,,,,,,,,inactive,0.17647058823529413,1,2
2007,3,10,71,13,13,Florida Panthers,Evgenii Dadonov,RW,RUS,70.0,178.0,"Chelyabinsk, Russia",1989-03-12,RUSSIA,Chelyabinsk,8474149.0,576.0,150.0,189.0,339.0,0.5885416666666666,,,,,63.0,Dallas Stars,Y,other_team,33.88235294117647,2,3
2007,3,11,72,12,12,Carolina Hurricanes,Drayson Bowman,F,USA,73.0,190.0,"Grand Rapids, MI  USA",1989-03-08,WHL,Spokane,8474137.0,179.0,15.0,18.0,33.0,0.1843575418994413,,,,,,,,inactive,10.529411764705882,1,1
2007,3,12,73,8,8,Montréal Canadiens,Yannick Weber,D,CHE,71.0,193.0,"Morges, Switzerland",1988-09-23,OHL,Kitchener,8474134.0,541.0,32.0,68.0,100.0,0.1848428835489833,,,,,,,,inactive,31.823529411764707,2,1
2007,3,13,74,10,10,Toronto Maple Leafs,Dale Mitchell,RW,CAN,69.0,200.0,"Etobicoke, ON  CAN",1989-04-09,OHL,Oshawa,8474054.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,14,75,14,14,Tampa Bay Lightning,Luca Cunti,F,CHE,72.0,190.0,"Zurich, Switzerland",1989-07-04,SWISS-3,Dubendorf,8474156.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,15,76,2,2,New York Islanders,Jason Gregoire,LW,CAN,73.0,196.0,"Winnipeg, MB  CAN",1989-02-24,USHL,Lincoln,8474132.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,16,77,14,14,Tampa Bay Lightning,Alex Killorn,C,CAN,72.0,161.0,"Halifax, NS  CAN",1989-09-14,HIGH-MA,Deerfield Academy,8473986.0,1008.0,253.0,326.0,579.0,0.5744047619047619,,,,,17.0,Anaheim Ducks,Y,other_team,59.294117647058826,3,3
2007,3,17,78,5,5,Pittsburgh Penguins,Robert Bortuzzo,D,CAN,75.0,196.0,"Thunder Bay, ON  CAN",1989-03-18,OHL,Kitchener,8474145.0,620.0,22.0,57.0,79.0,0.1274193548387096,,,,,41.0,New York Islanders,Y,other_team,36.470588235294116,2,1
2007,3,18,79,1,1,New Jersey Devils,Nick Palmieri,RW,USA,75.0,220.0,"Utica, NY  USA",1989-07-12,OHL,Erie,8473999.0,87.0,13.0,12.0,25.0,0.2873563218390804,,,,,,,,inactive,5.117647058823529,1,2
2007,3,19,80,5,5,Pittsburgh Penguins,Casey Pierro-Zabotel,C,CAN,73.0,205.0,"Ashcroft, BC  CAN",1988-11-08,BCHL,Merritt,8474015.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,20,81,18,18,Nashville Predators,Ryan Thang,LW,USA,71.0,189.0,"Chicago, IL  USA",1987-05-11,CCHA,U. of Notre Dame,8474143.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,inactive,0.058823529411764705,1,1
2007,3,21,82,26,26,Los Angeles Kings,Bryan Cameron,F,CAN,71.0,186.0,"Brampton, ON  CAN",1989-02-25,OHL,Belleville,8474188.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,22,83,28,28,San Jose Sharks,Timo Pielmeier,G,DEU,71.0,175.0,"Deggendorf, Germany",1989-07-07,GERMAN-JR.,Koln Jr.,8474194.0,1.0,,,,0.0,12.0,7.0,0.0,0.0,,,,inactive,0.058823529411764705,1,1
2007,3,23,84,15,15,Washington Capitals,Phil Desimone,C,USA,72.0,193.0,"East Amherst, NY  USA",1987-03-19,USHL,Sioux City,8474160.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,24,85,19,19,St. Louis Blues,Brett Sonne,F,CAN,72.0,201.0,"Chilliwack, BC  CAN",1989-05-16,WHL,Calgary,8474087.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,25,86,16,16,Chicago Blackhawks,Josh Unice,G,USA,72.0,178.0,"Toledo, OH  USA",1989-06-24,USDP,USA U-18,8474007.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,26,87,1,1,New Jersey Devils,Corbin McPherson,D,USA,76.0,210.0,"Folsom, CA  USA",1988-09-07,BCHL,Cowichan Valley,8474196.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,27,88,17,17,Detroit Red Wings,Joakim Andersson,C,SWE,74.0,198.0,"Munkedal, Sweden",1989-02-05,SWEDEN-JR.,Frolunda Jr.,8474168.0,232.0,17.0,27.0,44.0,0.1896551724137931,,,,,,,,inactive,13.647058823529411,1,1
2007,3,28,89,7,7,Buffalo Sabres,Corey Tropp,RW,USA,72.0,183.0,"Grosse Pointe Woods, MI  USA",1989-07-25,USHL,Sioux Falls,8474130.0,151.0,6.0,21.0,27.0,0.1788079470198675,,,,,,,,inactive,8.882352941176471,1,1
2007,3,29,90,9,9,Ottawa Senators,Louie Caporusso,F,CAN,69.0,185.0,"Toronto, ON  CAN",1989-06-21,OPJRA,St. Michael's,8474129.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,3,30,91,28,28,San Jose Sharks,Tyson Sexsmith,G,CAN,71.0,210.0,"Priddis, AB  CAN",1989-03-19,WHL,Vancouver,8474003.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,4,1,92,24,24,Anaheim Ducks,Justin Vaive,LW,USA,77.0,210.0,"Buffalo, NY  USA",1989-07-08,USDP,USA U-18,8474104.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,4,2,93,24,24,Anaheim Ducks,Steven Kampfer,D,USA,71.0,197.0,"Ann Arbor, MI  USA",1988-09-24,CCHA,U. of Michigan,8474000.0,234.0,16.0,24.0,40.0,0.1709401709401709,,,,,44.0,Utah Hockey Club,N,inactive,13.764705882352942,1,1
2007,4,3,94,29,29,Columbus Blue Jackets,Maksim Mayorov,F,RUS,74.0,187.0,"Leninogorsk, Russia",1989-03-26,RUSSIA-2,Leninogorsk,8474195.0,22.0,2.0,1.0,3.0,0.1363636363636363,,,,,,,,inactive,1.2941176470588236,1,1
2007,4,4,95,26,26,Los Angeles Kings,Alec Martinez,D,USA,72.0,205.0,"Rochester Hills, MI  USA",1987-07-26,CCHA,Miami University,8474166.0,949.0,97.0,217.0,314.0,0.3308746048472075,,,,,23.0,Vegas Golden Knights,Y,other_team,55.8235294117647,3,2
2007,4,5,96,19,19,St. Louis Blues,Cade Fairchild,D,USA,71.0,190.0,"Duluth, MN  USA",1989-01-15,USDP,USA U-18,8474029.0,5.0,0.0,1.0,1.0,0.2,,,,,,,,inactive,0.29411764705882354,1,1
2007,4,6,97,22,22,Edmonton Oilers,Linus Omark,F,SWE,70.0,174.0,"Övertorneå, Sweden",1987-02-05,SWEDEN,Lulea,8474059.0,79.0,8.0,24.0,32.0,0.4050632911392405,,,,,,,,inactive,4.647058823529412,1,2
2007,4,7,98,24,24,Anaheim Ducks,Sebastian Stefaniszin,G,DEU,72.0,190.0,"Berlin, Germany",1987-07-22,GERMANY,Eisbaren Berlin,8474181.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,4,8,99,10,10,Toronto Maple Leafs,Matt Frattin,RW,CAN,71.0,187.0,"Edmonton, AB  CAN",1988-01-03,AJHL,Fort Saskatchewan,8474192.0,141.0,17.0,20.0,37.0,0.2624113475177304,,,,,,,,inactive,8.294117647058824,1,2
2007,4,9,100,19,19,St. Louis Blues,Travis Erstad,F,USA,76.0,199.0,"Madison, WI  USA",1988-11-09,USHL,Lincoln,8474110.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,4,10,101,13,13,Florida Panthers,Matt Rust,C,USA,70.0,192.0,"Bloomfield Hills, MI  USA",1989-03-23,USDP,USA U-18,8474124.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,4,11,102,12,12,Carolina Hurricanes,Justin McCrae,C,CAN,73.0,185.0,"Calgary, AB  CAN",1988-10-30,WHL,Saskatoon,8473993.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,4,12,103,27,59,Utah Hockey Club,Vladimir Ruzicka,C,CZE,73.0,196.0,"Most, Czech Republic",1989-02-17,Czech Republic,Slavia,8474159.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,4,13,104,10,10,Toronto Maple Leafs,Ben Winnett,LW,CAN,72.0,173.0,"New Westminster, BC  CAN",1989-04-03,BCHL,Salmon Arm,8474186.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,4,14,105,21,21,Colorado Avalanche,Brad Malone,F,CAN,74.0,207.0,"Miramichi, NB  CAN",1989-05-20,USHL,Sioux Falls,8474089.0,225.0,14.0,18.0,32.0,0.1422222222222222,,,,,24.0,Edmonton Oilers,N,inactive,13.235294117647058,1,1
2007,4,15,106,2,2,New York Islanders,Maxim Gratchev,LW,RUS,71.0,196.0,"Novosibirsk, Russia",1988-09-26,QMJHL,Rimouski,8474169.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,4,16,107,14,14,Tampa Bay Lightning,Mitch Fadden,C,CAN,72.0,193.0,"Victoria, BC  CAN",1988-04-03,WHL,Lethbridge,8474071.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,4,17,108,15,15,Washington Capitals,Brett Bruneteau,C,USA,71.0,183.0,"San Francisco, CA  USA",1989-01-05,USHL,Omaha,8474136.0,,,,,0.0,,,,,,,,inactive,,1,1
2007,4,18,109,26,26,Los Angeles Kings,Dwight King,F,CAN,75.0,227.0,"Meadow Lake, SK  CAN",1989-07-05,WHL,Lethbridge,8474100.0,440.0,63.0,71.0,134.0,0.3045454545454545,,,,,,,,inactive,25.88235294117647,2,2
2007,4,19,110,30,30,Minnesota Wild,Justin Falk,D,CAN,77.0,215.0,"Snowflake, MB  CAN",1988-10-11,WHL,Spokane,8473992.0,283.0,3.0,30.0,33.0,0.1166077738515901,,,,,,,,inactive,16.647058823529413,1,1
