Year,Round,Pick,Overall,Team,PlayerName,Pos,Country,Ht,Wt,AmateurLeague,AmateurTeam,PlayerID,Status,GamesPlayed,Points,PPG
2010,5,18,138,ARI,Louis Domingue,G,CAN,75,180,QMJHL,Quebec,8475839,inactive,82,62,0.756
2009,1,6,6,ARI,Oliver Ekman-Larsson,D,SWE,74,190,SWEDEN-2,Leksand,8475171,other_team,124,74,0.597
2009,2,6,36,ARI,Chris Brown,C,USA,74,191,USDP,USA U-18,8475161,active,66,40,0.606
2009,3,30,91,ARI,Michael Lee,G,USA,73,185,USHL,Fargo,8475230,active,81,66,0.815
2009,4,6,97,ARI,Jordan Szwarz,R,CAN,61,189,OHL,Saginaw,8475224,active,122,80,0.656
2009,4,14,105,ARI,Justin Weller,D,CAN,74,205,WHL,Red Deer,8475221,active,1,1,1
2009,6,6,157,ARI,Evan Bloodoff,L,CAN,61,190,WHL,Kelowna,8475308,other_team,45,12,0.267
2008,1,8,8,ARI,Mikkel Boedker,L,DNK,61,202,OHL,Kitchener,8474571,active,98,31,0.316
2008,1,28,28,ARI,Viktor Tikhonov,F,LVA,74,190,RUSSIA,Cherepovets,8474588,active,53,28,0.528
2008,2,19,49,ARI,Jared Staal,R,CAN,76,210,OHL,Sudbury,8474615,inactive,88,24,0.273
2008,3,8,69,ARI,Michael Stone,D,CAN,75,200,WHL,Calgary,8474628,active,185,157,0.849
2008,3,15,76,ARI,Mathieu Brodeur,D,CAN,77,190,QMJHL,Cape Breton,8474637,inactive,153,105,0.686
2008,4,8,99,ARI,Colin Long,C,USA,61,187,WHL,Kelowna,8474658,inactive,95,44,0.463
2008,6,8,159,ARI,Brett Hextall,C,USA,61,176,BCHL,Penticton,8474720,active,81,68,0.84
2008,7,8,189,ARI,Tim Billingsley,D,CAN,73,177,OHL,Mississauga St. Michael's,8474751,other_team,119,43,0.361
2007,1,3,3,ARI,Kyle Turris,C,CAN,73,185,BCHL,Burnaby,8474068,other_team,210,191,0.91
2007,1,30,30,ARI,Nick Ross,D,CAN,73,196,WHL,Regina,8474041,inactive,186,184,0.989
2007,2,2,32,ARI,Brett MacLean,L,CAN,73,200,OHL,Oshawa,8474050,inactive,42,2,0.048
2007,2,6,36,ARI,Joel Gistedt,G,SWE,61,174,SWEDEN,Frolunda,8474097,inactive,52,21,0.404
2007,4,12,103,ARI,Vladimir Ruzicka,C,CZE,73,196,CZREP,Slavia,8474159,other_team,53,10,0.189
2007,5,2,123,ARI,Maxim Goncharov,D,RUS,72,176,RUSSIA-3,CSKA 2,8474107,other_team,145,77,0.531
2007,6,2,153,ARI,Scott Darling,G,USA,78,190,EJHL,Capital District,8474152,active,203,199,0.98
2006,1,8,8,ARI,Peter Mueller,C,USA,74,204,WHL,Everett,8473526,other_team,267,154,0.577
2006,1,29,29,ARI,Chris Summers,D,USA,74,180,USA,US Nat'l U-18,8473589,inactive,246,26,0.106
2006,3,25,88,ARI,Jonas Ahnelov,D,SWE,74,220,SWE,Frolunda,8473515,active,82,36,0.439
2006,5,7,130,ARI,Brett Bennett,G,USA,73,185,USA,US Nat'l U-18,8473441,active,292,153,0.524
2006,5,8,131,ARI,Martin Latal,R,CZE,61,174,CZE,Kladno,8473506,other_team,5,4,0.8
2006,5,29,152,ARI,Jordan Bendfeld,D,CAN,75,245,WHL,Medicine Hat,8473421,inactive,145,69,0.476
2006,7,5,188,ARI,Chris Frank,D,USA,72,213,CCHA,Western Michigan,8473594,other_team,161,90,0.559
2006,7,13,196,ARI,Benn Ferriero,F,USA,61,195,H-EAST,Boston College,8473600,active,101,40,0.396
2005,1,17,17,ARI,Martin Hanzal,C,CZE,78,230,CZE JR.,Budejovice Jr.,8471691,inactive,342,201,0.588
2005,2,29,59,ARI,Pier-Olivier Pelletier,G,CAN,73,175,QMJHL,Drummondville,8471721,active,179,109,0.609
2005,4,14,105,ARI,Keith Yandle,D,USA,73,195,USHSE,Cushing Academy,8471735,active,45,26,0.578
2005,5,23,148,ARI,Anton Krysanov,C,RUS,75,198,RUS,Togliatti,8471809,active,77,40,0.519
2005,7,18,212,ARI,Pat Brosnihan,R,USA,76,208,USHSE,Worcester Academy,8471869,other_team,184,169,0.918
2004,1,5,5,ARI,Blake Wheeler,R,USA,77,205,USHSW,Breck,8471218,active,240,86,0.358
2004,2,5,35,ARI,Logan Stephenson,D,CAN,75,185,WHL,Tri-City,8471248,active,340,127,0.374
2004,2,20,50,ARI,Enver Lisin,R,RUS,74,200,RUS,Saratov,8471263,inactive,255,175,0.686
2004,4,5,103,ARI,Roman Tomanek,R,SVN,73,176,SVK SR.,Povazka Bystrica,8471315,active,350,83,0.237
2004,4,21,119,ARI,Kevin Porter,F,USA,72,190,USA,US Nat'l U-18,8471331,active,124,107,0.863
2004,6,5,168,ARI,Kevin Cormier,F,CAN,75,236,MJAHL,Moncton Jr. A,8471380,inactive,135,75,0.556
2004,7,6,199,ARI,Chad Kolarik,C,USA,61,185,USA,US Nat'l U-18,8471411,inactive,51,3,0.059
2004,8,13,240,ARI,Aaron Gagnon,C,CAN,61,186,WHL,Seattle,8471451,other_team,271,231,0.852
2004,9,3,261,ARI,William Engasser,L,USA,74,228,USHSW,Blake,8471472,active,292,31,0.106
2004,9,7,265,ARI,Daniel Winnik,F,CAN,74,210,H-EAST,U. of New Hampshire,8471476,inactive,12,4,0.333
2003,3,9,77,ARI,Tyler Redenbach,F,CAN,61,184,WHL,Swift Current,8470670,other_team,155,135,0.871
2003,3,12,80,ARI,Dimitri Pestunov,C,KAZ,69,196,RUS,Magnitogorsk,8470673,inactive,164,144,0.878
2003,4,14,115,ARI,Liam Lindstrom,C,CAN,72,189,SWE,Mora,8470707,active,88,1,0.011
2003,6,11,178,ARI,Ryan Gibbons,R,CAN,76,210,WHL,Seattle,8470770,inactive,145,86,0.593
2003,7,11,208,ARI,Randall Gelech,F,CAN,74,206,WHL,Kelowna,8470797,inactive,1,0,0
2003,8,13,242,ARI,Eduard Lewandowski,F,RUS,73,205,GER,Koln,8470831,other_team,410,381,0.929
2003,9,11,272,ARI,Sean Sullivan,D,USA,72,190,USHSE,St. Sebastian's,8470861,inactive,438,159,0.363
2003,9,29,290,ARI,Loic Burkhalter,F,CHE,72,192,SUI,Ambri,8470879,other_team,278,208,0.748
2002,1,19,19,ARI,Jakub Koreis,C,CZE,74,206,CZE,Plzen,8470037,inactive,249,115,0.462
2002,1,23,23,ARI,Ben Eager,L,CAN,74,235,OHL,Oshawa,8470280,inactive,432,94,0.218
2002,2,16,46,ARI,David LeNeveu,G,CAN,73,190,ECAC,Cornell U.,8470263,active,186,39,0.21
2002,3,7,70,ARI,Joe Callahan,D,USA,75,210,ECAC,Yale University,8470086,inactive,399,58,0.145
2002,3,17,80,ARI,Matt Jones,D,USA,72,224,WCHA,U. of North Dakota,8470088,inactive,43,5,0.116
2002,4,1,97,ARI,Lance Monych,R,CAN,74,199,WHL,Brandon,8470233,other_team,146,94,0.644
2002,5,1,132,ARI,John Zeiler,R,USA,61,204,USHL,Sioux City,8470113,other_team,404,319,0.79
2002,6,20,186,ARI,Jeff Pietrasiak,G,USA,73,180,USHSE,Berkshire,8470163,other_team,125,118,0.944
2002,7,19,216,ARI,Ladislav Kouba,L,CZE,74,210,WHL,Red Deer,8470087,other_team,499,311,0.623
2002,8,20,249,ARI,Marcus Smith,D,USA,72,192,OHL,Kitchener,8470297,inactive,322,21,0.065
2002,9,20,280,ARI,Russell Spence,C,CAN,75,200,MJHL,Opaskwayak (OCN),8470254,inactive,58,50,0.862
2001,1,11,11,ARI,Fredrik Sjostrom,R,SWE,73,218,SWE,Frolunda,8469464,other_team,383,6,0.016
2001,2,1,31,ARI,Matthew Spiller,D,CAN,77,233,WHL,Seattle,8469484,other_team,57,56,0.982
2001,2,15,45,ARI,Martin Podlesak,C,CZE,78,219,WHL,Lethbridge,8469497,active,46,0,0
2001,3,15,78,ARI,Beat Forster,D,CHE,73,209,SUI,Davos,8469527,active,128,45,0.352
2001,5,17,148,ARI,David Klema,C,USA,72,178,USHL,Des Moines,8469595,other_team,114,18,0.158
2001,6,15,180,ARI,Scott Polaski,R,USA,74,182,USHL,Sioux City,8469627,active,477,222,0.465
2001,7,14,210,ARI,Steve Belanger,G,USA,73,198,WHL,Kamloops,8469654,other_team,511,225,0.44
2001,8,16,243,ARI,Frantisek Lukes,L,CZE,69,173,OHL,Toronto St. Michael's,8469686,inactive,193,157,0.813
2001,9,14,273,ARI,Severin Blindenbacher,D,CHE,61,189,SUI,Kloten,8469716,other_team,200,74,0.37
2000,1,19,19,ARI,Krys Kolanos,C,CAN,75,206,,Boston College,8468499,inactive,100,84,0.84
2000,2,23,53,ARI,Alexander Tatarinov,R,RUS,61,176,,Yaroslavl 2,8468533,active,448,355,0.792
2000,3,20,85,ARI,Ramzi Abid,L,CAN,74,210,,Halifax,8467356,active,593,51,0.086
2000,5,30,160,ARI,Nate Kiser,D,USA,73,190,,Plymouth,8468640,inactive,517,82,0.159
2000,6,19,186,ARI,Brent Gauvreau,C,CAN,75,191,,Oshawa,8467442,other_team,559,131,0.234
2000,7,20,217,ARI,Igor Samoilov,D,RUS,61,195,,Yaroslavl,8468697,active,150,73,0.487
2000,8,20,249,ARI,Sami Venalainen,R,FIN,61,183,,Tappara Jr.,8468729,other_team,263,87,0.331
2000,9,20,281,ARI,Peter Fabus,F,SVK,73,191,,Trencin,8468761,other_team,366,148,0.404
2011,1,9,9,BOS,Dougie Hamilton,D,CAN,77,193,OHL,Niagara,8476462,other_team,50,3,0.06
2011,2,10,40,BOS,Alexander Khokhlachev,C/LW,RUS,61,183,OHL,Windsor,8476435,inactive,50,37,0.74
2011,3,20,81,BOS,Anthony Camara,LW,CAN,72,194,OHL,Saginaw,8476405,active,19,7,0.368
2011,4,30,121,BOS,Brian Ferlin,RW,USA,74,201,USHL,Indiana,8476363,other_team,48,42,0.875
2011,5,30,151,BOS,Rob O'Gara,D,USA,75,185,HIGH-MA,Milton Academy,8476303,other_team,32,2,0.063
2011,6,30,181,BOS,Lars Volden,G,NOR,75,198,FINLAND-JR.,Blues Jr.,8476333,active,7,4,0.571
2010,1,2,2,BOS,Tyler Seguin,C,CAN,73,182,OHL,Plymouth,8475794,inactive,31,15,0.484
2010,2,2,32,BOS,Jared Knight,C,USA,61,186,OHL,London,8475743,other_team,94,71,0.755
2010,2,15,45,BOS,Ryan Spooner,C,CAN,61,172,OHL,Peterborough,8475727,inactive,66,12,0.182
2010,4,7,97,BOS,Craig Cunningham,LW,CAN,61,185,WHL,Vancouver,8475414,inactive,54,9,0.167
2010,5,15,135,BOS,Justin Florek,LW,USA,76,194,CCHA,Northern Michigan,8475845,inactive,9,2,0.222
2010,6,15,165,BOS,Zane Gothberg,G,USA,73,177,HIGH-MN,Thief River Falls,8475876,inactive,18,14,0.778
2010,7,15,195,BOS,Maxim Chudinov,D,RUS,61,187,RUSSIA,Cherepovets,8475892,active,98,31,0.316
2010,7,30,210,BOS,Zach Trotman,D,USA,75,195,CCHA,Lake Superior,8475902,inactive,29,16,0.552
2009,1,25,25,BOS,Jordan Caron,R,CAN,74,202,QMJHL,Rimouski,8475150,active,93,71,0.763
2009,3,25,86,BOS,Ryan Button,D,CAN,72,185,WHL,Prince Albert,8475237,other_team,102,62,0.608
2009,4,21,112,BOS,Lane MacDermid,L,USA,75,205,OHL,Windsor,8475283,other_team,82,56,0.683
2009,6,25,176,BOS,Tyler Randell,R,CAN,73,191,OHL,Kitchener,8475292,other_team,13,11,0.846
2009,7,25,206,BOS,Ben Sexton,C,CAN,61,182,CJHL,Nepean,8475328,inactive,89,89,1
2008,1,16,16,BOS,Joe Colborne,C,CAN,77,190,AJHL,Camrose,8474577,inactive,5,1,0.2
2008,2,17,47,BOS,Max Sauve,C,FRA,72,170,QMJHL,Val d'Or,8474607,inactive,114,27,0.237
2008,3,16,77,BOS,Michael Hutchinson,G,CAN,75,185,OHL,Barrie,8474636,other_team,89,60,0.674
2008,4,6,97,BOS,Jamie Arniel,C,CAN,61,183,OHL,Sarnia,8474657,other_team,163,21,0.129
2008,6,22,173,BOS,Nick Tremblay,C,CAN,61,190,CJHL,Smiths Falls,8474735,inactive,150,103,0.687
2008,7,16,197,BOS,Mark Goggin,C,USA,61,177,HIGH-CT,Choate-Rosemary,8474756,active,189,43,0.228
2007,1,8,8,BOS,Zach Hamill,C,CAN,61,180,WHL,Everett,8474045,other_team,234,114,0.487
2007,2,5,35,BOS,Tommy Cross,D,USA,75,195,HIGH-CT,Westminster,8474019,active,238,14,0.059
2007,5,9,130,BOS,Denis Reul,D,DEU,76,214,GERMAN-3,Heilbronn,8474079,active,2,0,0
2007,6,8,159,BOS,Alain Goulet,D,CAN,74,186,OPJRA,Aurora,8474055,active,19,1,0.053
2007,6,18,169,BOS,Radim Ostrcil,D,CZE,61,194,CZREP,Vsetin,8474191,inactive,71,37,0.521
2007,7,8,189,BOS,Jordan Knackstedt,R,CAN,74,195,WHL,Moose Jaw,8474117,inactive,232,150,0.647
2006,1,5,5,BOS,Phil Kessel,C,USA,72,202,WCHA,U. of Minnesota,8473548,other_team,182,54,0.297
2006,2,7,37,BOS,Yury Alexandrov,D,RUS,72,185,RUS,Cherepovec,8473556,other_team,268,241,0.899
2006,2,20,50,BOS,Milan Lucic,L,CAN,76,220,WHL,Vancouver,8473473,active,198,11,0.056
2006,3,8,71,BOS,Brad Marchand,C,CAN,69,183,QMJHL,Moncton,8473419,other_team,163,5,0.031
2006,5,5,128,BOS,Andrew Bodnarchuk,D,CAN,61,172,QMJHL,Halifax,8473550,other_team,228,185,0.811
2006,6,5,158,BOS,Levi Nelson,C,CAN,61,167,WHL,Swift Current,8473481,inactive,131,9,0.069
2005,1,22,22,BOS,Matt Lashoff,D,USA,74,204,OHL,Kitchener,8471696,inactive,209,140,0.67
2005,2,9,39,BOS,Petr Kalus,C,CZE,73,201,CZE JR.,Vitkovice Jr.,8471713,inactive,11,7,0.636
2005,3,22,83,BOS,Mikko Lehtonen,R,FIN,75,196,FIN JR.,Blues Jr.,8471747,inactive,341,119,0.349
2005,4,9,100,BOS,Jonathan Sigalet,D,CAN,73,185,CCHA,Bowning Green,8471765,other_team,310,302,0.974
2005,4,15,106,BOS,Vladimir Sobotka,F,CZE,61,183,CZE JR.,Slavia Jr.,8471743,inactive,92,86,0.935
2005,5,29,154,BOS,Wacey Rabbit,C,CAN,61,169,WHL,Saskatoon,8471815,inactive,275,38,0.138
2005,6,10,172,BOS,Lukas Vantuch,F,CZE,75,200,CZE JR.,Liberec Jr.,8471833,active,176,136,0.773
2005,7,23,217,BOS,Brock Bradford,C,CAN,69,168,USHL,Omaha,8471874,inactive,268,61,0.228
2004,2,33,63,BOS,David Krejci,C,CZE,72,177,CZE JR.,Kladno Jr.,8471276,active,252,11,0.044
2004,2,34,64,BOS,Martins Karsums,R,LVA,61,198,QMJHL,Moncton,8471277,inactive,329,128,0.389
2004,4,10,108,BOS,Ashton Rome,R,CAN,73,205,WHL,Moose Jaw,8471320,other_team,301,186,0.618
2004,5,5,134,BOS,Kris Versteeg,R,CAN,61,182,WHL,Lethbridge,8471346,other_team,304,187,0.615
2004,5,31,160,BOS,Ben Walter,C,CAN,73,190,H-EAST,U. Mass-Lowell,8471372,other_team,70,62,0.886
2004,7,31,224,BOS,Matt Hunwick,D,USA,61,190,CCHA,U. of Michigan,8471436,active,47,2,0.043
2004,8,28,255,BOS,Anton Hedman,F,SWE,72,180,SWE II,Stocksund,8471466,active,256,151,0.59
